aX,aY,aZ,gX,gY,gZ
-0.938,2.828,1.298,89.905,28.870,34.302
-1.059,2.827,1.042,77.332,46.570,38.391
-1.148,2.669,0.785,33.997,60.913,25.635
-1.192,2.516,0.717,-11.597,55.359,2.197
-1.313,2.592,0.883,-44.922,28.503,-17.700
-1.381,2.869,1.007,-66.589,-11.047,-24.841
-1.188,2.955,1.008,-62.256,-52.612,-13.855
-0.963,2.861,0.907,-44.373,-87.769,1.343
-0.728,2.552,0.611,-19.653,-104.431,11.658
-0.467,2.046,0.305,0.854,-97.412,15.076
-0.247,1.579,0.065,6.042,-71.045,19.836
-0.065,1.090,-0.132,10.254,-34.790,26.489
0.032,0.537,-0.210,14.099,2.197,30.579
0.031,-0.075,-0.206,19.409,38.635,36.133
0.075,-0.478,-0.392,26.733,73.914,45.349
0.149,-0.618,-0.763,42.969,92.896,48.462
0.062,-0.607,-0.928,56.458,89.661,43.335
-0.074,-0.467,-0.935,39.551,69.702,34.729
-0.140,-0.253,-0.845,2.197,42.358,23.315
-0.089,-0.065,-0.761,-30.457,16.541,10.864
-0.083,0.058,-0.578,-50.781,-3.418,-2.075
-0.081,0.173,-0.283,-63.171,-16.235,-10.559
-0.073,0.246,-0.034,-59.570,-24.414,-12.817
-0.083,0.239,0.075,-48.035,-30.334,-10.315
-0.073,0.237,0.134,-42.725,-34.058,-5.615
-0.056,0.245,0.212,-38.269,-33.813,-2.502
-0.060,0.206,0.299,-24.231,-24.658,-1.465
-0.098,0.152,0.368,-6.287,-8.118,1.892
-0.119,0.096,0.388,7.385,8.972,10.559
-0.087,0.045,0.316,19.958,17.334,19.470
-0.049,-0.007,0.215,29.480,20.081,24.414
0.009,-0.080,0.126,31.616,23.132,27.344
0.058,-0.139,0.046,28.625,24.963,31.799
0.063,-0.156,-0.039,24.780,24.475,36.499
0.087,-0.143,-0.095,22.400,24.109,39.856
0.095,-0.094,-0.125,23.254,20.508,39.795
0.055,-0.078,-0.079,26.062,13.977,35.461
0.024,-0.122,-0.026,24.414,9.827,29.480
0.002,-0.149,0.010,15.991,9.644,24.414
-0.018,-0.153,0.025,4.944,11.536,19.409
-0.038,-0.165,0.026,-4.028,14.160,14.343
-0.051,-0.155,-0.013,-12.329,17.456,9.155
-0.071,-0.096,-0.036,-22.766,21.301,4.456
-0.056,-0.019,-0.048,-29.846,24.048,0.549
-0.034,0.030,-0.049,-31.067,24.231,-2.319
-0.017,0.054,-0.039,-28.809,22.339,-2.686
-0.010,0.046,-0.029,-21.667,25.085,2.197
0.016,0.086,-0.008,-15.625,33.447,9.949
0.024,0.133,0.012,-9.583,42.053,15.930
-0.025,0.167,0.018,-3.906,49.866,21.545
-0.054,0.249,0.092,1.831,55.603,27.161
-0.114,0.405,0.120,14.587,47.852,29.114
-0.240,0.645,0.030,29.663,30.701,28.198
-0.280,0.867,0.005,35.217,25.818,26.123
-0.425,0.998,0.239,38.635,32.715,21.484
-0.564,1.296,0.497,39.734,30.029,15.503
-0.720,1.641,0.502,50.293,11.902,8.850
-0.757,1.867,0.655,58.594,6.226,12.451
-0.901,1.847,1.086,62.561,22.339,25.696
-0.922,1.894,1.188,55.786,52.002,33.936
-0.735,2.143,1.040,29.053,86.914,27.771
-0.587,2.492,0.770,-11.841,106.934,12.634
-0.796,2.556,0.639,-32.166,97.168,4.944
-0.914,2.441,0.489,-38.879,88.196,8.972
-0.928,2.257,0.376,-54.504,85.449,11.047
-0.949,2.196,0.540,-78.430,70.007,10.254
-1.042,2.245,0.921,-84.106,40.222,13.794
-1.066,2.338,1.213,-58.960,9.277,19.958
-0.969,2.347,1.287,-21.851,-14.404,24.048
-0.771,2.269,1.249,6.836,-29.175,25.085
-0.545,2.117,1.148,29.175,-29.053,19.714
-0.417,1.934,0.975,41.321,-18.799,9.827
-0.354,1.729,0.793,38.208,-4.089,0.671
-0.307,1.437,0.656,32.715,11.353,-7.629
-0.276,1.139,0.519,35.583,22.095,-13.367
-0.287,0.906,0.406,40.894,24.475,-14.465
-0.300,0.719,0.300,39.673,18.066,-12.695
-0.305,0.606,0.214,29.724,4.700,-8.362
-0.304,0.534,0.171,18.677,-13.062,-4.761
-0.301,0.501,0.154,9.338,-29.114,-2.808
-0.288,0.468,0.102,1.892,-38.269,-1.587
-0.265,0.470,0.055,-2.563,-38.269,1.587
-0.213,0.454,0.029,-2.563,-33.569,5.920
-0.211,0.396,0.004,1.099,-30.579,6.531
-0.203,0.330,-0.024,4.456,-27.344,5.371
