aX,aY,aZ,gX,gY,gZ
-0.371,1.062,0.026,71.594,-98.511,-36.072
-0.582,1.030,-0.146,44.128,-90.576,-32.654
-0.357,1.173,0.147,-18.250,-81.299,-15.991
-0.271,1.299,0.354,-71.594,-77.332,-5.249
-0.218,1.427,0.130,-105.591,-59.265,4.395
-0.136,1.547,-0.140,-130.798,-50.171,22.400
-0.131,1.618,-0.272,-128.296,-58.167,34.302
-0.133,1.605,-0.333,-88.562,-67.383,28.015
-0.161,1.288,-0.331,-14.832,-75.378,3.174
-0.205,0.999,-0.293,44.495,-81.909,-16.846
-0.194,0.915,-0.160,69.824,-85.632,-23.560
-0.232,0.856,-0.061,80.200,-82.092,-25.208
-0.293,0.820,0.048,80.322,-76.416,-25.269
-0.321,0.874,0.184,59.265,-68.481,-19.165
-0.289,0.983,0.292,26.855,-57.617,-11.719
-0.239,1.033,0.341,0.732,-46.326,-9.766
-0.174,1.088,0.331,-18.738,-35.706,-10.437
-0.130,1.211,0.268,-36.377,-26.550,-9.338
-0.051,1.275,0.094,-45.837,-14.343,-10.925
0.012,1.165,-0.127,-47.913,-4.395,-18.311
0.022,1.118,-0.234,-56.580,0.793,-20.874
0.016,1.208,-0.208,-55.664,2.930,-19.531
0.012,1.258,-0.141,-30.640,1.587,-21.851
-0.004,1.079,-0.076,4.822,-1.038,-29.480
-0.037,0.942,-0.062,31.067,2.563,-30.823
-0.052,0.871,-0.074,44.434,9.583,-25.452
-0.079,0.802,-0.064,52.185,14.282,-20.447
-0.101,0.733,-0.029,53.223,16.113,-16.052
-0.119,0.714,-0.003,46.021,16.113,-10.803
-0.162,0.766,-0.003,33.203,15.930,-4.944
-0.180,0.809,-0.018,21.423,17.761,-1.282
-0.187,0.819,-0.015,11.292,20.447,1.404
-0.165,0.781,0.014,0.854,23.499,4.089
-0.134,0.785,0.052,-13.306,27.527,7.812
-0.117,0.812,0.048,-26.062,34.058,10.986
-0.093,0.838,-0.007,-26.733,41.687,11.963
-0.061,0.827,-0.057,-21.667,48.035,11.658
-0.017,1.738,-0.889,-194.275,-44.617,48.401
-0.137,1.420,-0.867,-116.760,-72.205,10.193
0.272,1.480,-0.813,-49.683,-82.092,1.648
0.249,1.400,-0.736,26.367,-87.219,-11.658
0.100,1.172,-0.498,107.666,-91.797,-36.194
-0.110,1.070,-0.257,153.503,-83.862,-40.405
-0.289,0.966,-0.046,168.884,-70.923,-32.471
-0.413,0.888,0.117,152.710,-60.059,-19.104
-0.470,0.879,0.297,108.337,-53.955,-5.554
-0.383,0.913,0.405,56.763,-49.744,0.366
-0.264,0.942,0.395,11.658,-45.044,1.831
-0.081,0.990,0.230,-23.621,-41.138,0.671
0.024,1.000,-0.002,-44.800,-40.894,-1.953
0.093,0.986,-0.213,-57.617,-43.457,-3.601
0.137,0.962,-0.317,-65.857,-49.927,-3.296
0.022,1.005,-0.329,-67.627,-56.274,-2.075
0.077,1.018,-0.311,-61.279,-60.059,-1.343
0.077,0.994,-0.271,-46.082,-60.669,-1.953
0.042,0.953,-0.252,-27.100,-57.068,-2.319
0.001,0.893,-0.240,-9.338,-52.185,-2.930
-0.028,0.857,-0.208,3.113,-49.133,-2.991
-0.051,0.845,-0.180,10.559,-48.096,-2.380
-0.065,0.826,-0.163,15.991,-46.875,-2.686
-0.071,0.801,-0.144,19.836,-45.776,-3.540
-0.070,0.782,-0.130,19.897,-45.837,-3.967
-0.054,0.789,-0.122,15.320,-46.509,-3.418
-0.040,0.790,-0.135,10.254,-46.143,-2.563
-0.033,0.790,-0.168,5.493,-44.617,-1.282
-0.026,0.772,-0.173,0.977,-43.518,0.366
-0.009,0.804,-0.135,-5.676,-44.189,3.662
0.003,0.839,-0.132,-9.644,-43.030,6.714
0.004,0.837,-0.140,-8.179,-39.001,8.179
-0.006,0.814,-0.158,-2.502,-34.058,8.728
-0.038,0.777,-0.205,6.104,-27.771,9.033
-0.089,0.717,-0.245,17.151,-22.705,7.751
-0.113,0.667,-0.234,29.114,-18.555,5.676
-0.144,0.645,-0.198,41.016,-15.442,3.296
-0.203,0.657,-0.201,54.993,-10.681,0.000
-0.218,0.695,-0.200,71.899,-6.409,-4.150
-0.265,0.742,-0.162,85.266,-5.981,-8.667
-0.331,0.818,-0.220,87.769,-4.822,-12.939
-0.363,0.919,-0.337,75.989,-3.113,-13.733
-0.338,1.054,-0.313,44.434,-8.606,-7.996
-0.267,1.249,-0.231,-0.427,-16.663,0.793
-0.174,1.381,-0.228,-36.987,-15.747,7.751
-0.120,1.444,-0.237,-65.125,-14.343,14.587
-0.113,1.490,-0.223,-88.623,-14.709,23.437
-0.116,1.509,-0.247,-99.365,-13.550,29.968
-0.097,1.500,-0.255,-85.999,-16.846,31.555
-0.072,1.505,-0.232,-53.101,-24.048,29.541
-0.058,1.425,-0.231,-12.390,-29.236,23.499
-0.057,1.359,-0.244,17.883,-31.982,20.264
-0.054,1.343,-0.274,30.273,-33.630,22.583
-0.022,1.338,-0.251,33.936,-36.987,25.024
-0.025,1.308,-0.253,29.968,-41.382,27.893
-0.008,1.260,-0.243,23.010,-46.143,28.503
0.002,1.195,-0.223,15.564,-52.246,28.625
-0.009,1.156,-0.240,11.963,-57.800,28.137
-0.038,1.084,-0.229,13.916,-64.514,25.330
-0.056,1.000,-0.198,19.958,-72.754,21.484
-0.083,0.920,-0.182,27.771,-79.834,18.066
-0.105,0.857,-0.168,38.818,-86.426,15.930
-0.099,0.793,-0.157,51.514,-92.346,14.648
-0.081,0.721,-0.153,62.439,-95.459,13.611
-0.062,0.663,-0.156,67.871,-97.046,14.465
-0.052,0.638,-0.190,65.735,-99.365,17.944
-0.033,0.610,-0.265,60.120,-105.652,21.301
-0.021,0.583,-0.325,50.537,-119.568,23.254
-0.008,0.573,-0.332,39.307,-137.756,23.315
0.001,0.569,-0.329,31.738,-153.015,19.104
0.028,0.499,-0.330,30.945,-162.170,9.338
0.078,0.421,-0.312,31.677,-169.006,-0.183
0.117,0.365,-0.261,27.893,-173.767,-5.127
0.116,0.383,-0.222,28.992,-176.025,-9.460
0.069,0.415,-0.217,32.959,-177.246,-13.916
-0.023,0.448,-0.212,46.509,-179.871,-20.569
-0.102,0.456,-0.215,65.430,-183.105,-26.062
